datetime,open,high,low,close,volume
2018-01-01 09:30:00,41.57,41.57,41.32,41.34,27062
2018-01-01 09:31:00,41.34,41.48,41.34,41.35,9244
2018-01-01 09:32:00,41.36,41.5,41.34,41.5,4142
2018-01-01 09:33:00,41.49,41.51,41.45,41.48,3225
2018-01-01 09:34:00,41.5,41.52,41.45,41.52,2800
2018-01-01 09:35:00,41.47,41.53,41.43,41.52,3369
2018-01-01 09:36:00,41.52,41.6,41.51,41.6,5455
2018-01-01 09:37:00,41.62,41.63,41.59,41.62,2900
2018-01-01 09:38:00,41.62,41.62,41.52,41.54,6819
2018-01-01 09:39:00,41.53,41.62,41.53,41.61,3007
2018-01-01 09:40:00,41.61,41.625,41.57,41.62,2849
2018-01-01 09:41:00,41.62,41.64,41.61,41.64,2400
2018-01-01 09:42:00,41.64,41.7,41.64,41.67,2635
2018-01-01 09:43:00,41.6301,41.68,41.625,41.67,2900
2018-01-01 09:44:00,41.67,41.68,41.649,41.65,4035
2018-01-01 09:45:00,41.66,41.7,41.65,41.69,2411
2018-01-01 09:46:00,41.69,41.7,41.63,41.655,5471
2018-01-01 09:47:00,41.67,41.7,41.64,41.64,2978
2018-01-01 09:48:00,41.62,41.63,41.585,41.6,5256
2018-01-01 09:49:00,41.59,41.6,41.55,41.55,4762
2018-01-01 09:50:00,41.56,41.61,41.56,41.58,3067
2018-01-01 09:51:00,41.59,41.63,41.59,41.625,2701
2018-01-01 09:52:00,41.615,41.615,41.58,41.6,3528
2018-01-01 09:53:00,41.59,41.63,41.58,41.63,3438
2018-01-01 09:54:00,41.61,41.63,41.6,41.63,2409
2018-01-01 09:55:00,41.64,41.65,41.6,41.61,3000
2018-01-01 09:56:00,41.61,41.63,41.6,41.6,3502
2018-01-01 09:57:00,41.5902,41.63,41.5902,41.63,2832
2018-01-01 09:58:00,41.63,41.63,41.62,41.62,2167
2018-01-01 09:59:00,41.61,41.62,41.598,41.6,6162
2018-01-01 10:00:00,41.61,41.6499,41.61,41.64,3820
2018-01-01 10:01:00,41.64,41.68,41.62,41.64,7073
2018-01-01 10:02:00,41.63,41.66,41.62,41.64,2354
2018-01-01 10:03:00,41.624,41.624,41.59,41.6,2958
2018-01-01 10:04:00,41.6,41.6125,41.54,41.55,5084
2018-01-01 10:05:00,41.53,41.54,41.49,41.5214,3289
2018-01-01 10:06:00,41.53,41.56,41.52,41.52,5513
2018-01-01 10:07:00,41.51,41.54,41.51,41.52,2096
2018-01-01 10:08:00,41.51,41.52,41.49,41.5,4187
2018-01-01 10:09:00,41.47,41.48,41.4499,41.48,3371
2018-01-01 10:10:00,41.47,41.47,41.44,41.45,1666
2018-01-01 10:11:00,41.46,41.46,41.4,41.4,1949
2018-01-01 10:12:00,41.4,41.47,41.4,41.44,2925
2018-01-01 10:13:00,41.43,41.45,41.42,41.44,2409
2018-01-01 10:14:00,41.435,41.46,41.435,41.45,3756
2018-01-01 10:15:00,41.45,41.489,41.45,41.47,2520
2018-01-01 10:16:00,41.45,41.452,41.44,41.44,3000
2018-01-01 10:17:00,41.44,41.45,41.4,41.41,5900
2018-01-01 10:18:00,41.4001,41.435,41.4,41.435,3189
2018-01-01 10:19:00,41.44,41.46,41.41,41.45,6395
2018-01-01 10:20:00,41.46,41.47,41.46,41.46,1259
2018-01-01 10:21:00,41.45,41.455,41.4,41.43,1997
2018-01-01 10:22:00,41.42,41.42,41.4,41.41,1610
2018-01-01 10:23:00,41.42,41.46,41.42,41.45,2300
2018-01-01 10:24:00,41.45,41.46,41.45,41.46,1115
2018-01-01 10:25:00,41.46,41.49,41.46,41.49,1772
2018-01-01 10:26:00,41.475,41.5,41.45,41.48,5966
2018-01-01 10:27:00,41.4678,41.47,41.44,41.47,2027
2018-01-01 10:28:00,41.4699,41.485,41.44,41.44,3157
2018-01-01 10:29:00,41.45,41.45,41.44,41.44,1886
2018-01-01 10:30:00,41.4383,41.45,41.42,41.44,2444
2018-01-01 10:31:00,41.44,41.45,41.44,41.45,1260
2018-01-01 10:32:00,41.45,41.45,41.42,41.43,2485
2018-01-01 10:33:00,41.44,41.47,41.39,41.41,3429
2018-01-01 10:34:00,41.43,41.45,41.43,41.43,1300
2018-01-01 10:35:00,41.44,41.44,41.4,41.42,3600
2018-01-01 10:36:00,41.4178,41.46,41.4117,41.46,2147
2018-01-01 10:37:00,41.46,41.46,41.43,41.44,1359
2018-01-01 10:38:00,41.4438,41.49,41.4438,41.49,2614
2018-01-01 10:39:00,41.47,41.475,41.41,41.44,5946
2018-01-01 10:40:00,41.43,41.46,41.41,41.43,7366
2018-01-01 10:41:00,41.43,41.45,41.41,41.43,3815
2018-01-01 10:42:00,41.43,41.44,41.4,41.44,4900
2018-01-01 10:43:00,41.44,41.44,41.42,41.435,2442
2018-01-01 10:44:00,41.43,41.43,41.39,41.4,1680
2018-01-01 10:45:00,41.39,41.39,41.34,41.37,27007
2018-01-01 10:46:00,41.36,41.37,41.35,41.36,2109
2018-01-01 10:47:00,41.3546,41.36,41.34,41.35,9170
2018-01-01 10:48:00,41.3425,41.36,41.335,41.34,12946
2018-01-01 10:49:00,41.3425,41.36,41.34,41.36,2200
2018-01-01 10:50:00,41.34,41.35,41.33,41.33,7107
2018-01-01 10:51:00,41.34,41.37,41.31,41.37,16643
2018-01-01 10:52:00,41.36,41.37,41.34,41.34,7218
2018-01-01 10:53:00,41.34,41.36,41.335,41.35,4450
2018-01-01 10:54:00,41.35,41.36,41.34,41.34,1400
2018-01-01 10:55:00,41.34,41.38,41.34,41.38,17525
2018-01-01 10:56:00,41.38,41.44,41.38,41.44,16930
2018-01-01 10:57:00,41.45,41.45,41.42,41.42,1190
2018-01-01 10:58:00,41.4,41.42,41.39,41.41,16687
2018-01-01 10:59:00,41.43,41.485,41.43,41.48,3273
2018-01-01 11:00:00,41.48,41.49,41.46,41.47,5586
2018-01-01 11:01:00,41.47,41.5,41.47,41.5,2425
2018-01-01 11:02:00,41.47,41.495,41.47,41.49,5750
2018-01-01 11:03:00,41.4859,41.5,41.45,41.5,7500
2018-01-01 11:04:00,41.5,41.5,41.48,41.49,2900
2018-01-01 11:05:00,41.5,41.5,41.49,41.49,7675
2018-01-01 11:06:00,41.48,41.49,41.47,41.49,4000
2018-01-01 11:07:00,41.49,41.49,41.45,41.46,3050
2018-01-01 11:08:00,41.47,41.49,41.45,41.4686,3810
2018-01-01 11:09:00,41.48,41.48,41.44,41.48,1649
2018-01-01 11:10:00,41.46,41.47,41.44,41.47,2364
2018-01-01 11:11:00,41.47,41.47,41.42,41.44,2290
2018-01-01 11:12:00,41.44,41.45,41.435,41.44,1047
2018-01-01 11:13:00,41.45,41.48,41.45,41.46,1500
2018-01-01 11:14:00,41.46,41.48,41.45,41.46,3123
2018-01-01 11:15:00,41.47,41.5,41.46,41.49,2371
2018-01-01 11:16:00,41.47,41.48,41.45,41.45,3352
2018-01-01 11:17:00,41.45,41.45,41.45,41.45,1000
2018-01-01 11:18:00,41.46,41.46,41.45,41.45,1000
2018-01-01 11:19:00,41.45,41.46,41.45,41.45,4305
2018-01-01 11:20:00,41.45,41.45,41.41,41.42,6577
2018-01-01 11:21:00,41.43,41.45,41.42,41.45,1769
2018-01-01 11:22:00,41.43,41.44,41.43,41.44,1638
2018-01-01 11:23:00,41.44,41.44,41.44,41.44,904
2018-01-01 11:24:00,41.44,41.44,41.37,41.37,6301
2018-01-01 11:25:00,41.38,41.38,41.37,41.37,1400
2018-01-01 11:26:00,41.37,41.38,41.36,41.38,2237
2018-01-01 11:27:00,41.36,41.37,41.36,41.37,500
2018-01-01 11:28:00,41.37,41.37,41.36,41.36,1219
2018-01-01 11:29:00,41.3594,41.37,41.3594,41.37,1190
2018-01-01 11:30:00,41.35,41.36,41.33,41.36,8090
2018-01-01 11:31:00,41.37,41.39,41.37,41.39,4257
2018-01-01 11:32:00,41.38,41.4,41.36,41.4,2289
2018-01-01 11:33:00,41.41,41.41,41.39,41.39,2869
2018-01-01 11:34:00,41.395,41.41,41.37,41.38,2214
2018-01-01 11:35:00,41.39,41.4,41.39,41.39,1168
2018-01-01 11:36:00,41.41,41.42,41.37,41.41,3517
2018-01-01 11:37:00,41.42,41.42,41.38,41.39,2865
2018-01-01 11:38:00,41.4,41.42,41.37,41.4,2514
2018-01-01 11:39:00,41.4,41.44,41.4,41.415,2567
2018-01-01 11:40:00,41.39,41.42,41.39,41.41,1995
2018-01-01 11:41:00,41.41,41.42,41.39,41.42,1212
2018-01-01 11:42:00,41.42,41.43,41.38,41.41,3606
2018-01-01 11:43:00,41.42,41.44,41.42,41.42,1210
2018-01-01 11:44:00,41.43,41.43,41.42,41.42,1700
2018-01-01 11:45:00,41.43,41.431,41.3986,41.41,2283
2018-01-01 11:46:00,41.41,41.42,41.405,41.42,11418
2018-01-01 11:47:00,41.41,41.41,41.38,41.38,1520
2018-01-01 11:48:00,41.3852,41.39,41.38,41.38,900
2018-01-01 11:49:00,41.38,41.38,41.35,41.35,15362
2018-01-01 11:50:00,41.36,41.37,41.35,41.37,409
2018-01-01 11:51:00,41.35,41.37,41.34,41.35,7377
2018-01-01 11:52:00,41.3601,41.37,41.35,41.35,1555
2018-01-01 11:53:00,41.37,41.39,41.3625,41.39,3332
